"","GSM1371025","GSM1371026","GSM1371027","GSM1371028","GSM1371029","GSM1371030","GSM1371031","GSM1371032","GSM1371033","GSM1371034"
"TK2",8.08690612713458,7.92503000563462,7.97665383995453,8.10062601308657,7.21006379003234,7.31555882108611,8.41776683386067,8.3803180169952,8.45685400214799,8.4695829198871
"TLE1",8.97300139026209,8.99729388034031,9.03426528415368,8.98959932598151,8.64247540560281,8.59312486847096,9.91874393671201,9.99248563255194,10.0691098661175,10.0414726456618
"TLE4",11.8373443854988,11.8937014259941,11.8942419393367,11.8797979179223,9.88897672377673,9.94580890876496,11.4168547051804,11.4729371157088,11.3689318352485,11.3147414863622
"TLN1",8.4315348253052,8.48091009173774,8.62283813106566,8.56638050651579,6.90137160874527,6.98929967697271,9.29916684198556,9.15793398827104,9.44923886683025,9.32696054139455
"SEC62",9.36722850659431,9.41949610168457,9.44373945063154,9.3811411657274,8.35879469120348,8.45323282145313,9.91371384015449,10.0309119326436,10.2005849641153,10.0817226771097
"TLR4",4.11148811447224,4.42375152215772,3.90282231733797,3.49686089358468,3.04954704785042,3.20057492141012,3.09956321591495,3.03586156373523,3.01456707021572,3.24939825940544
"NR2E1",9.85906134766413,9.98581704999913,10.1404501705423,10.2056010522621,4.22139857447131,4.23279071282655,11.7596963655166,11.8141638466734,12.1256167797328,12.1021123070719
"TSPAN7",7.71478377839341,7.68539769202871,8.09317820570816,8.03132925857555,7.49298771450073,7.42608685976677,9.08315934430146,9.17848938697015,9.39910897803498,9.39024329631198
"GPR137B",8.28220247641502,8.20530956787604,8.31712943178841,8.48969295057284,7.69334539480299,7.77827761740115,9.13726949871448,9.18642917046833,9.18359698668829,9.09086819638895
"TNFAIP1",9.69196129201759,9.66579391862308,9.64383225183008,9.5845568725341,8.12435093167125,8.11569503322887,9.59075469386945,9.7087520831783,9.82056174554491,9.81851469696381
"TNFAIP2",7.02137654477329,6.91028129429581,7.25862104669024,7.2187424957803,6.09084199138456,5.83246340062463,6.59035772405764,6.69466119572914,6.75194152369768,6.55283646504238
"TNFAIP3",9.68726114861225,9.55845536156939,9.5954268566333,9.31588802204801,7.10644167112483,6.64345517925553,7.81113704304864,7.92380640433952,8.14445846409997,8.09564164254913
"TNNC1",7.76140814768775,7.75668560764886,7.84541614179879,7.60425958622794,6.34960602753349,6.49366232741028,5.52870199105059,6.14505061879533,6.39968600030644,6.30732211295604
"TNNI1",6.0395702990339,6.3248223040775,6.24671753070477,6.08313893780589,5.18066969933755,4.97387149651561,5.98958986926418,6.01519009111491,5.76234163413311,5.91752987697593
"TNNI3",7.65216631687966,7.64587162893621,7.85111573526725,8.04729206812555,8.6996754747719,8.56745486866663,6.91907037330124,7.04715601341079,7.09501898092151,6.95808483827134
"TNNT1",8.51048604161089,8.4126955426105,8.74594725786701,8.7985643670478,10.2139300864056,10.0868135947732,7.46139805730663,7.61037001623548,7.335991218876,7.36117146069089
"TNS1",7.52939742706228,7.53973820195679,6.99311043342041,7.19819237542856,6.4598971742477,6.39368543425827,6.80641353375502,6.79453656580508,6.99535794196235,7.1161528275382
"TP53BP1",9.75484837180475,9.73540043334781,9.81697826054549,9.80724878926145,8.43176304169301,8.55078700686905,9.86415143258991,10.0280274525178,9.85046767376372,9.88855170559988
"TPBG",6.84873918999458,6.94379804814417,6.64237703832517,6.87998261873849,3.90470608302229,3.95614882962165,6.15567674434048,6.23841314333832,5.80162393392837,5.82652944660452
"TPD52",7.3034799446016,7.18333787960296,7.49618899859417,7.37688897473831,8.92599999734147,8.97967373485801,6.6468599165088,6.79567533248037,6.76338491178802,6.62028859475046
"TPM1",13.2528102400392,13.2913572203363,13.2156815826114,13.2043843991885,11.6025979090749,11.5669943526135,11.9130322784866,11.9582915891451,11.73837003089,11.7577626720338
"TPM2",11.129929540492,11.2836843485812,11.1892751311933,11.2677364351762,10.8644573113009,10.7858347545701,9.25261469188927,9.23716140643259,9.48212695116999,9.30386162206071
"NR2C1",6.00798928675103,5.59977013319422,6.04935058981353,5.79128574419441,4.52871396228456,3.92913267570429,5.73408016007996,5.67839086145892,5.57087366004098,5.53679062817942
"TRAF3",10.0861768320754,10.2643013242164,10.2425164610056,10.2358443955043,8.16452069884747,8.09494855584952,10.06505169036,10.1665689702646,10.0741803202524,10.0739804412023
"TRAF6",7.45153816627883,7.55090031544291,7.43370919372208,7.45525834326506,6.48172287082381,6.12949920884107,7.76449731206406,7.86176477047597,7.76823403246558,7.71157437464373
"TRH",6.36169580448038,6.302158981987,6.23461294112839,6.31540039572013,5.21313047988599,5.471138725442,8.42748653689674,8.46752021427719,7.91263415212643,7.86886849082885
"TRIP6",9.27700764449148,9.28490324982727,9.35501922920196,9.39211914020172,10.5159754311343,10.4439010755158,8.36328198690301,8.43684781263685,8.43256802539079,8.43967141552434
"TRPC3",4.61063606804019,4.42461231953801,4.67663840119801,4.49345419943338,3.57837510535446,3.69863134217115,5.0375155881991,5.19398747166665,5.02855708400988,4.6660939479244
"TRPS1",7.11981897714583,7.2032356302683,7.32783637642135,7.15734753457199,5.60821799310796,5.74910746538677,8.06710097523793,8.14058342955888,8.1468575483223,8.01132575714665
"PHLDA2",8.79796892934527,8.69089151307333,8.39403824304336,8.37988096847121,6.16031317647382,6.24329041578092,5.88471817613995,5.90183623250534,6.39505650766033,6.51920630576667
"C5",7.24764812396217,7.28863125598001,7.34656511836542,7.46149952629398,4.63991345649914,4.76199485104473,7.118798523568,7.35750186823737,7.21339419690127,7.15582743195698
"TUBB2A",12.737150188155,12.734417504403,12.6226235049568,12.5561483631619,12.3577011903189,12.3450297343742,13.474293584589,13.4178893988456,13.5747238087896,13.46745156349
"LOC728392",12.1350969551386,12.0611280302481,12.2342236843726,12.2455112078233,9.06481645166425,8.78456839949111,12.6447302550451,12.699316104366,12.7751815773863,12.9143184057458
"LOC728485",7.94977027568234,7.95975270761257,8.18928643002392,8.20752437727031,8.72217880860283,8.73511133642542,7.12674636729905,7.35217414253811,7.53589501422774,7.60866769466547
"CCDC169",6.0942832334258,6.16689797537588,6.15416959949735,6.29868948981877,9.50490327575002,9.54177191518943,4.26660703835839,4.16229826390949,4.50105076390273,4.68596691508339
"CCDC30",5.81029619650405,5.8978868504471,6.07664757480287,6.24227290103839,3.0815597438878,3.86705731644689,6.37224627553148,6.4786340038341,6.20362344700228,6.39239076950341
"NBPF8",3.59863672555129,3.617577574678,3.45556006917891,3.58886166005147,3.19920270213976,3.22300579235244,5.2411604058655,5.34342776288497,5.3833756663489,5.56106778341753
"ZBED5-AS1",7.54719279212078,7.66922493342947,7.79359511891324,7.8095510084497,6.83094974357712,7.00921736101276,8.07777795545379,8.1671340011652,8.1100922240084,8.05354413096214
"TWIST1",7.19911548333233,7.25345318190082,5.79522493594173,6.19096321683101,4.63199424512518,4.88208904636338,6.77442984003265,6.56640538345102,5.99854816526579,5.71209439810394
"FLJ37453",9.20169219656096,9.33797747690445,9.2679256584837,9.25607949620525,8.26515851085679,8.32214587007321,9.52081584054635,9.59975447459542,9.7725285114211,9.71814710625741
"LINC00847",7.22605887649051,7.18199820239331,7.44693489259727,7.45415275171485,6.54188643749758,6.46963905767323,7.50194062285135,7.76857783064364,8.01271199781693,8.03387660965177
"TYMS",11.4634644933611,11.5577555934174,11.504560654264,11.5402150866502,10.0307909041241,10.0072211552546,11.0846865511104,11.1855264590347,11.1123278562808,11.0611665226458
"MORN2",9.478681931881,9.48787277179083,9.58032137117827,9.55359235113719,8.53278223081144,8.4913812275446,9.59420600607765,9.64094708665339,9.68330992265635,9.61348824750583
"LOC729970",8.27668045306771,8.29363398650708,8.52752360333292,8.59080330999124,6.66222113684196,6.72368765534812,7.86560296663695,8.02955138203092,8.03596134849601,8.02882827623498
"BORCS8",7.58300150274033,7.5899371128714,7.60161278737291,7.66732226573304,6.6641044521358,6.56576221590248,8.13175249322407,8.18130340245492,8.18725154811858,7.97608882108913
"SHISA9",8.54936093406356,8.65333525963575,8.21007165361373,8.30412048245644,8.88684549504956,8.80198647641523,7.10778295191777,7.03146076059834,7.36466673792535,7.52288625909859
"RRN3P1",7.4087093950679,7.37326235537569,7.45283034846256,7.45203961730454,6.32416753087306,6.33923931181973,7.65622844989141,7.55532237231099,7.58432975477044,7.52032698350224
"LOC730101",8.86634538394698,8.8645162071037,8.91500760169044,9.03921346868297,7.3361454755889,7.2806214258216,8.98157330603314,9.13178905772252,9.00081757223364,8.97757063198214
"TYRP1",5.03590289765873,5.00589032257349,4.49298844468996,4.13630635738163,4.03240587686674,4.01217773430974,3.56251123736232,3.7602277628646,4.63489273846853,4.91602669680102
"UBE2B",9.65649996898172,9.73668508882567,9.66583276077485,9.65210625053007,8.75942806492484,8.75722927654798,10.1066499279459,10.198245639157,10.2204375392504,10.2491358969862
"UBE2D2",8.95939707224484,9.11097245257912,9.0558165762228,9.15521777411188,8.52494237803968,8.4126955426105,9.60987505384399,9.52988831634503,9.82994048089135,9.66424988826627
"UGT8",6.52637700098197,6.41522657730264,6.79991275591767,6.66958139714411,9.87927398359122,9.99725737341574,7.83946622932161,7.80786807838905,7.45340249117829,7.53385937225509
"UQCRB",5.63125454096135,5.48721748730473,5.30102781153552,5.59291263003919,5.03846214694914,5.5488938946669,6.41552235759784,6.28671930958384,6.85348148970601,6.31121556506079
"VCAM1",10.0222790341208,10.0223451530135,10.1253442353313,10.1717966830505,4.56769205552857,4.72478605083493,10.0006388367646,10.0911440268877,10.5470546844534,10.4573941020244
"VCL",12.3671900407034,12.3647134430745,12.3002037323584,12.3052294751831,12.3722020529733,12.4196974555389,10.5847288592172,10.7888877245308,10.6353700166112,10.6013352775893
"VEGFA",9.70453905047353,9.48000680261031,9.72596086438152,9.63362791243574,8.16021546498843,8.07498027797742,9.57550084260057,9.55493339553485,10.5812123684699,10.552215881992
"VEGFC",7.04056279560103,7.11321994652824,7.08845694844413,7.12494521604786,5.76990622739511,5.59783234220086,6.9779624892041,7.16570787129695,7.75041417914827,7.63709041068255
"EZR",8.8217817946134,8.90462663844186,8.56304884992742,8.77775361135329,10.4513543798662,10.3765152838708,7.97107877777527,8.12751624550437,8.1259272988911,8.09025039227999
"VIM",6.2059775384078,5.97259243905753,5.78978197605634,5.75821627314812,3.78962578995944,3.27360319090513,6.47839519698566,6.67125883376573,6.54700687621089,6.59538209782879
"VIPR2",5.79426422394949,5.98480290096324,6.00919909030853,5.83343655621612,6.288721947369,6.06789110934291,4.98788487693967,5.2795981365058,5.11654409542963,5.02596701871412
"MPPED2",9.63252125488428,9.66347455960787,9.78067048066746,9.75905958532214,8.30368801722069,8.50237784391173,12.0568658933352,12.1550638407939,12.5960237776679,12.5069294135376
"WIPF1",8.04108056272551,7.78995152169269,8.1606372338655,8.16837968692046,5.1427990122657,5.15102428962589,7.47851193729195,7.4446364883451,7.35484317898539,7.29147552002836
"CORO2A",7.10358715127181,7.11613394719021,6.85629526132543,7.15442575445013,7.4753558804796,7.58159068229015,5.62339456373869,5.81460625317246,5.77500395707317,6.05917548363143
"NSD2",8.22245532552597,8.37445155434349,8.38447052228188,8.32289472933766,6.6104799995986,6.39368543425827,8.62161121526697,8.84882078345283,8.7086337380034,8.71417574921605
"WNT7B",8.91896289109238,9.0738194016783,8.98635316193341,9.02149127012187,7.922909559629,7.58736899725336,8.46319586422962,8.66613522689306,7.86467948288518,7.85847645945126
"WNT2B",8.01849694443618,8.1605784651789,8.02923563043251,8.0779255053252,5.15838605256168,5.45123219380914,6.06771360299243,6.0612249495386,6.44096901129301,6.18228155468367
"GET1",11.846543196667,11.8442065113751,11.892331198278,11.9065234085803,11.1032038737507,11.1002291581172,12.266218090455,12.2694910721082,12.2850513661623,12.260539932618
"XK",6.56943389176722,6.65219519274254,6.68342885403946,6.63389907518887,8.30287869478466,8.24806723936982,5.86515682202149,6.34982427832736,5.86372195507409,5.95595553667699
"XPA",9.12698219817628,9.27030311409851,9.30327774744909,9.31746504249539,7.69134141392704,7.50182431828787,9.50120977785784,9.68660382114132,9.78846922000601,9.76268049599744
"XPO1",6.65384722505095,6.57554378988512,6.5578281805789,6.37236435800567,8.00004143481848,7.99294935830514,7.91974195612506,8.18438494103458,7.76305420071031,7.78933582862161
"LDLRAD4",5.79601651168316,5.93626638416117,6.12900659842275,6.16611255770919,4.42125668187485,4.06798958033841,5.47298943764972,5.6565733610588,6.27568078284324,6.22639251192577
"ZFP37",7.89965199390705,7.82163446021801,8.00100332153172,8.0230096518795,7.04628462250631,7.05494731836618,8.26670373804741,8.12315884445965,8.44976354548794,8.39516780266556
"ZFY",7.52327736607002,7.46681058757712,7.47039841878757,7.40372149719188,6.20578706178924,6.5007733267865,7.40022555864922,7.19688850868848,7.23649030221127,7.23866690485646
"ZIC1",13.1636598758546,13.2143352233291,13.1788127304373,13.1774651385811,5.94937101186211,5.93305678922859,13.7263346050764,13.7434311272078,13.521674058802,13.5527503335433
"ZIC3",10.0771036562971,10.1030185251856,10.0573797754135,10.0587080830706,11.9927957553709,11.9192584353204,11.661117225866,11.761364211926,11.1518996796776,11.0712644222941
"ZNF2",7.10176094729259,7.17802213210159,7.14118478820144,7.1711653121069,6.28915938067149,6.48487149093085,7.37967307688527,7.58106607615552,7.42390781891727,7.52760143076942
"ZNF711",10.4520707324715,10.3208975573324,10.4756488031255,10.4313035244038,9.69570256907544,9.86554722290255,10.9547926889244,10.9070513251542,11.0457565988138,10.8919099746024
"TMEM50B",8.87024963913609,8.86151666815035,8.87252740043918,8.76947229741416,8.10936919772197,8.06356089227693,9.40819082871506,9.53763071896178,9.4701194826696,9.42438952833438
"MPPED1",8.8523827490233,8.97644433518769,9.18962035841615,9.24984236210708,5.29321125746361,4.59110297982079,8.0109480307991,8.12129659403074,8.59652467557827,8.64119691757632
"ZNF35",7.0342517888437,7.21546053428445,7.17699942591853,7.25427137289655,8.31551048245546,8.27351241926423,7.72505733212796,7.97257600103784,8.00429143546925,7.98865447284435
"ZKSCAN1",11.3325529457558,11.3333068792894,11.3595015516063,11.3536437442594,10.3274729918766,10.3962961099112,11.9843375915384,11.9092104500731,11.9162834201661,11.8831508887725
"CA2",11.1174439882939,11.0990021860839,11.3765982222688,11.3799282384229,8.51825849557918,8.57241802330655,9.27613368260408,9.40425201289433,9.14232567606213,9.21742386099212
"CA3",6.58769726426636,6.39261948049254,6.64411296705706,6.6009648014443,4.27539942106684,4.261080702285,6.05251631273725,5.91139076455956,6.15721247194101,5.92131359543586
"CA4",5.96828003388954,5.73551543007569,5.90050466417999,5.92357587575021,6.47186567455553,6.35162933130095,5.60722858678436,5.11546676998701,5.38759858020937,5.11892466813384
"ZNF84",9.72519458283937,9.78455394420079,9.83504208183733,9.81510770925648,7.60001019044926,7.60458984749781,9.94863245667694,10.0974182621104,10.0562107079885,10.0021592685919
"ZNF91",10.3269512095839,10.4224437331489,10.4515182328653,10.5092704591669,9.64509089632637,9.63926697277586,10.959584474105,10.7837632178514,11.0585064584275,11.0233488562692
"H2BW4P",9.18280857864463,9.16519807721769,9.2358647938226,9.33194642874029,6.21922360076253,6.17330921892136,9.24752049005717,9.26781611068118,9.40278371317098,9.38632813227878
"RELL1",10.3287753681407,10.3309680520144,10.2828574098759,10.2103662532618,9.23476879620544,9.24921667864641,10.1578418865342,10.1136190023583,10.1490400410688,10.1130705560959
"ZBTB16",8.51253863548892,8.50159180386403,8.62519788947646,8.77659296973628,4.4470057248416,4.97867968474114,7.66180670172167,7.77467023242738,7.42292019953621,7.54101108266575
"ZNF148",7.74837167269892,7.57759474271756,7.77100418298234,7.84912162847559,6.71250943500528,6.67470130467714,8.21227599106078,8.04607408368361,8.21998326648357,8.18648479272274
"CA12",6.45228587205417,6.46346523584155,6.55420460253776,6.55472325403726,5.87232881087551,5.89118315361257,6.94955058836309,7.36901885156198,6.44777269352028,6.69694588057163
